FIPS,vaccgivenpercaptia,Hesitancy,dosewastedpercapita,vacc_complete,Census2019,vaccnum,UrbRur,demrep,demv,repv,mystate
13319,1.403730176,0,0,89,8954,4660,6,Republican,2074,2665,GA
13321,1.102039808,0,0,89,20247,8574,4,Republican,2395,6830,GA
16001,1.867461123,0.18,0.607198699,97.7,481587,320552,3,Republican,120539,130699,ID
16003,1.259198882,0.19,3.315789474,97.7,4294,1926,6,Republican,591,1941,ID
16005,1.462338284,0.2,0.369704355,97.7,87808,47430,4,Republican,14682,23331,ID
16007,1.250938776,0.2,1.46922449,97.7,6125,2913,6,Republican,350,2914,ID
16009,1.5025812,0.19,0.087115509,97.7,9298,5028,6,Republican,977,3878,ID
16011,1.292602166,0.2,0.805173998,97.7,46811,23275,5,Republican,4124,15295,ID
16013,2.448851049,0.2,0.443421224,97.7,23021,19468,5,Democrate,8919,4031,ID
16015,0.984165496,0.19,1.434299579,97.7,7831,2691,3,Republican,1204,3485,ID
16017,1.260784014,0.19,0.405124729,97.7,45739,20282,5,Republican,8310,18369,ID
16019,1.450017638,0.18,0.222909073,97.7,119062,65489,4,Republican,14254,37805,ID
16021,0.985463454,0.19,0.269742752,97.7,12245,4422,6,Republican,1220,4937,ID
16023,1.319984598,0.19,0.45167501,97.7,2597,1306,4,Republican,188,1202,ID
16025,1.18716094,0.2,0.015370705,97.7,1106,490,5,Republican,149,507,ID
16027,1.288624271,0.19,0.268859121,97.7,229849,110136,3,Republican,25881,61759,ID
16029,1.097554158,0,0,97.7,7155,2944,6,Republican,431,2906,ID
16031,1.142904702,0.2,0.53545568,97.7,24030,10686,5,Republican,1464,7907,ID
16033,1.117159763,0,0,97.7,845,366,6,Republican,41,264,ID
16035,1.224417542,0.19,0.146071265,97.7,8756,3836,6,Republican,877,3453,ID
16037,1.372421784,0.19,0.366628042,97.7,4315,2085,6,Republican,603,2089,ID
16039,1.556613718,0.2,0.356875432,97.7,27511,16457,5,Republican,2601,7246,ID
16041,1.21007495,0.2,0.379792447,97.7,13876,6405,4,Republican,657,5845,ID
16043,1.223452172,0.2,1.081074891,97.7,13099,6119,5,Republican,998,5548,ID
16045,1.139575972,0.17,0.51645318,97.7,18112,7448,3,Republican,1803,7951,ID
16047,1.201133144,0.2,1.559720667,97.7,15179,6900,6,Republican,1256,4659,ID
